selected_count,selected_rate,precision,recall,f1,operating_point,threshold_value,strategy,target
35404,0.8851221280532013,0.4456558580951305,0.9986075949367088,0.6162799781267089,score threshold,0.011,raw cri probability,y_cri_high
34673,0.8668466711667792,0.45467654947653796,0.9977848101265823,0.6246904285459552,score threshold,0.012,raw cri probability,y_cri_high
34673,0.8668466711667792,0.45467654947653796,0.9977848101265823,0.6246904285459552,score threshold,0.013000000000000001,raw cri probability,y_cri_high
34673,0.8668466711667792,0.45467654947653796,0.9977848101265823,0.6246904285459552,score threshold,0.014000000000000002,raw cri probability,y_cri_high
34673,0.8668466711667792,0.45467654947653796,0.9977848101265823,0.6246904285459552,score threshold,0.015,raw cri probability,y_cri_high
34617,0.8654466361659041,0.4554120807695641,0.9977848101265823,0.6253842949798679,score threshold,0.016,raw cri probability,y_cri_high
34617,0.8654466361659041,0.4554120807695641,0.9977848101265823,0.6253842949798679,score threshold,0.017,raw cri probability,y_cri_high
34616,0.8654216355408885,0.4554252368846776,0.9977848101265823,0.6253966994604887,score threshold,0.018000000000000002,raw cri probability,y_cri_high
34616,0.8654216355408885,0.4554252368846776,0.9977848101265823,0.6253966994604887,score threshold,0.019000000000000003,raw cri probability,y_cri_high
34616,0.8654216355408885,0.4554252368846776,0.9977848101265823,0.6253966994604887,score threshold,0.02,raw cri probability,y_cri_high
34616,0.8654216355408885,0.4554252368846776,0.9977848101265823,0.6253966994604887,score threshold,0.021,raw cri probability,y_cri_high
32892,0.8223205580139503,0.47847500912075885,0.9960759493670887,0.6464306251540294,score threshold,0.022000000000000002,raw cri probability,y_cri_high
32892,0.8223205580139503,0.47847500912075885,0.9960759493670887,0.6464306251540294,score threshold,0.023,raw cri probability,y_cri_high
32891,0.8222955573889347,0.4784895564136086,0.9960759493670887,0.6464439013370027,score threshold,0.024,raw cri probability,y_cri_high
31155,0.7788944723618091,0.5038035628310062,0.9934177215189873,0.6685549994675754,score threshold,0.025,raw cri probability,y_cri_high
31155,0.7788944723618091,0.5038035628310062,0.9934177215189873,0.6685549994675754,score threshold,0.026000000000000002,raw cri probability,y_cri_high
30285,0.757143928598215,0.5172857850421001,0.9915189873417721,0.6798741456005207,score threshold,0.027000000000000003,raw cri probability,y_cri_high
30285,0.757143928598215,0.5172857850421001,0.9915189873417721,0.6798741456005207,score threshold,0.028,raw cri probability,y_cri_high
30285,0.757143928598215,0.5172857850421001,0.9915189873417721,0.6798741456005207,score threshold,0.029,raw cri probability,y_cri_high
30285,0.757143928598215,0.5172857850421001,0.9915189873417721,0.6798741456005207,score threshold,0.030000000000000002,raw cri probability,y_cri_high
30284,0.7571189279731994,0.5173028661999736,0.9915189873417721,0.6798888985331134,score threshold,0.031,raw cri probability,y_cri_high
30283,0.7570939273481837,0.5173199484859492,0.9915189873417721,0.6799036521059827,score threshold,0.032,raw cri probability,y_cri_high
30283,0.7570939273481837,0.5173199484859492,0.9915189873417721,0.6799036521059827,score threshold,0.033,raw cri probability,y_cri_high
