algorithm,n_gen,n_eval,hypervolume
NSGA-III,83,8300,0.3471818432895166
NSGA-III,84,8400,0.3469090920810677
NSGA-III,85,8500,0.34680623351672746
NSGA-III,86,8600,0.33618086480434217
NSGA-III,87,8700,0.33621242889480907
NSGA-III,88,8800,0.3364411701146591
NSGA-III,89,8900,0.33638275020690006
NSGA-III,90,9000,0.33804778698577276
NSGA-III,91,9100,0.34088772358841585
NSGA-III,92,9200,0.3453013104803518
NSGA-III,93,9300,0.34418921154178994
NSGA-III,94,9400,0.34772550280442427
NSGA-III,95,9500,0.3470875649011729
NSGA-III,96,9600,0.34867913248452165
NSGA-III,97,9700,0.34945796189528433
NSGA-III,98,9800,0.3497205208411194
NSGA-III,99,9900,0.3495154951461571
NSGA-III,100,10000,0.348636465836065
NSGA-III,101,10100,0.348289714424202
NSGA-III,102,10200,0.3496668957528775
NSGA-III,103,10300,0.3496165891067244
NSGA-III,104,10400,0.3488385612620928
NSGA-III,105,10500,0.34888723779608755
NSGA-III,106,10600,0.34926476793166084
NSGA-III,107,10700,0.3488679797144331
NSGA-III,108,10800,0.3498909119357254
NSGA-III,109,10900,0.34874049994378253
NSGA-III,110,11000,0.35073638578323746
NSGA-III,111,11100,0.35088024801087464
NSGA-III,112,11200,0.3508544997789551
NSGA-III,113,11300,0.35075470163122885
NSGA-III,114,11400,0.34802244360413404
NSGA-III,115,11500,0.34802142788977153
NSGA-III,116,11600,0.34783389376649876
NSGA-III,117,11700,0.34758750664374904
NSGA-III,118,11800,0.34776398246711776
NSGA-III,119,11900,0.3479786292704364
NSGA-III,120,12000,0.34923283508088
NSGA-III,121,12100,0.3448396346431091
NSGA-III,122,12200,0.345572547451715
NSGA-III,123,12300,0.3457334974722306
NSGA-III,124,12400,0.34615213184037696
NSGA-III,125,12500,0.3466533827718573
NSGA-III,126,12600,0.349012892052753
NSGA-III,127,12700,0.3458213096724078
NSGA-III,128,12800,0.34574809393144085
NSGA-III,129,12900,0.3481093071133808
NSGA-III,130,13000,0.34803811265242596
NSGA-III,131,13100,0.3480051917815441
NSGA-III,132,13200,0.3480023308112698
NSGA-III,133,13300,0.347573371696452
NSGA-III,134,13400,0.3479307969003148
NSGA-III,135,13500,0.34835453346362505
NSGA-III,136,13600,0.3485854504540369
